key, propensity
ARP,0.11111
ARQ,0.07692
ARR,0.03614
ARS,0.05634
ART,0.08333
ARV,0.04132
ARW,0.15
ARY,0.06
AR_,0
ASA,0.09091
ASC,0.1
ASD,0.01515
ASE,0.07895
ASF,0.04478
ASG,0.05882
ASH,0.09091
ASI,0.04878
ASK,0.01111
ASL,0.07857
ASM,0.02222
ASN,0.05455
ASP,0.01266
ASQ,0.06122
ASR,0.06849
ASS,0.05085
AST,0.05797
ASV,0.06452
ASW,0.04545
ASY,0.06557
AS_,0
ATA,0.1
ATC,0.03448
ATD,0.07353
ATE,0.04054
ATF,0.08696
ATG,0.0303
ATH,0.04167
ATI,0.01333
ATK,0.11321
ATL,0.04828
ATM,0.05263
ATN,0.08065
ATP,0.06122
ATQ,0.07273
ATR,0.04762
ATS,0.03448
ATT,0.08621
ATV,0.02174
ATW,0
ATY,0.04348
AT_,0
AVA,0.04478
AVC,0
AVD,0.04762
AVE,0.11765
AVF,0.05769
AVG,0.05319
AVH,0.13333
AVI,0.07792
AVK,0.07609
AVL,0.09524
AVM,0.06452
AVN,0.06349
AVP,0.12698
AVQ,0.04478
AVR,0.08235
AVS,0.11538
AVT,0.09756
AVV,0.04545
AVW,0.1
AVY,0.08696
AV_,0
AWA,0.2
AWC,0.375
AWD,0.04762
AWE,0.1
AWF,0.15385
AWG,0.27273
AWH,0
AWI,0
AWK,0.20833
AWL,0.07692
AWM,0.1
AWN,0.2
AWP,0.10526
AWQ,0
AWR,0.16667
AWS,0.04545
AWT,0.21053
AWV,0.27273
AWW,0
AWY,0.09091
AW_,0
AYA,0.06061
AYC,0.14286
AYD,0.03774
AYE,0.16667
AYF,0.15152
AYG,0.1129
AYH,0
AYI,0.08696
AYK,0.075
AYL,0.15493
AYM,0
AYN,0.10714
AYP,0.03846
AYQ,0.16667
AYR,0.09524
AYS,0.08511
AYT,0.16949
AYV,0.09524
AYW,0.15385
AYY,0.14286
AY_,0
CAC,0
CAD,0.14815
CAE,0.10526
CAF,0.21429
CAG,0.13043
CAH,0
CAI,0.0625
CAK,0
CAL,0
CAM,0.2
CAN,0.05882
CAP,0
CAQ,0
CAR,0.06667
CAS,0.04
CAT,0
CAV,0.03125
CAW,0
CAY,0.16667
CA_,0
CCC,0
CCD,0.14286
CCE,0
CCF,0.14286
CCG,0.1
CCH,0.16667
CCI,0.83333
CCK,0
CCL,0.16667
CCM,0
CCN,0
CCP,0.16667
CCQ,0.5
CCR,0
CCS,0.16667
CCT,0
CCV,0
CCY,0
CDC,0.28571
CDD,0.08333
CDE,0.22727
CDF,0.19048
CDG,0.18182
CDH,0.11111
CDI,0.05
CDK,0.19048
CDL,0.10526
CDM,0.22222
CDN,0.0625
CDP,0
CDQ,0
CDR,0.23529
CDS,0.11538
CDT,0
CDV,0
CDW,0
CDY,0.17647
CD_,0
CEC,0
CED,0.11111
CEE,0.09302
CEF,0
CEG,0.03125
CEH,0
CEI,0.18519
CEK,0.03571
CEL,0.10526
CEM,0.08333
CEN,0
CEP,0.03846
CEQ,0.0625
CER,0.125
CES,0.15385
CET,0.06667
CEV,0.04348
CEW,0.25
CEY,0
CFC,0
CFD,0.17647
CFE,0.09091
CFF,0.1
CFG,0.25
CFH,0.14286
CFI,0
CFK,0.08333
CFL,0.25
CFM,0.11111
CFN,0.25
CFP,0
CFQ,0.23077
CFR,0.2
CFS,0.13636
CFT,0.25
CFV,0.0625
CFW,0
CFY,0.25
CF_,0
CGC,0
CGD,0.03226
CGE,0.12121
CGF,0.2
CGG,0.03333
CGH,0.08333
CGI,0.38462
CGK,0
CGL,0.05882
CGM,0
CGN,0
CGP,0
CGQ,0
CGR,0.08
CGS,0.1
CGT,0.16667
CGV,0.07143
CGW,0
CGY,0
CG_,0.33333
CHD,0
CHE,0.3
CHF,0
CHG,0.09091
CHH,0
CHI,0
CHK,0.08333
CHL,0
CHM,0
CHN,0.11111
CHP,0.06667
CHQ,0.2
CHR,0
CHS,0.11765
CHT,0
CHV,0
CHW,0.33333
CHY,0
CIC,0
CID,0
CIE,0.25
CIF,0
CIG,0.19048
CIH,0
CII,0.07692
CIK,0.07143
CIL,0.21429
CIM,0
CIN,0.05263
CIP,0
CIQ,0.0625
CIR,0.09091
CIS,0.05556
CIT,0.125
CIV,0.15385
CIW,0
CIY,0.08333
CKC,1
CKD,0.06452
CKE,0.06897
CKF,0.05556
CKG,0.03333
CKH,0
CKI,0.05556
CKK,0.02857
CKL,0.03125
CKM,0
CKN,0.05263
CKP,0
CKQ,0
CKR,0.07692
CKS,0
CKT,0.05263
CKV,0
CKW,0.125
CKY,0
CK_,0
CLC,0
CLD,0.16
CLE,0.10714
CLF,0
CLG,0.14706
CLH,0.14286
CLI,0.05556
CLK,0.1
CLL,0.11905
CLM,0.14286
CLN,0
CLP,0.04
CLQ,0.07692
CLR,0.16667
CLS,0.09375
CLT,0.10345
CLV,0.07143
CLW,0
CLY,0.22727
CL_,0
CMC,0
CMD,0
CME,0
CMF,0
CMG,0.33333
CMH,0
CMI,0
CMK,0
CML,0.5
CMM,1
CMN,0
CMP,0
CMQ,0.16667
CMS,0
CMT,0
CMV,0.22222
CMY,0
CM_,0.33333
CNC,0
CND,0.0625
CNE,0.04
CNF,0.08333
CNG,0
CNH,0
CNI,0
CNK,0.05882
CNL,0
CNM,0
CNN,0.09091
CNP,0.05556
CNQ,0
CNR,0.05882
CNS,0.04348
CNT,0
CNV,0.0625
CNW,0
CNY,0
CPC,0
CPD,0.09091
CPE,0.03846
CPF,0
CPG,0.05263
CPH,0
CPI,0
CPK,0
CPL,0.08
CPM,0
CPN,0
CPP,0
CPQ,0
CPR,0.08696
CPS,0.18182
CPT,0
CPV,0.04348
CPW,0
CPY,0.30769
CQC,0.4
CQD,0.10714
CQE,0.09524
CQF,0.09091
CQG,0.11538
CQH,0.11111
CQI,0
CQK,0
CQL,0
CQM,0.25
CQN,0.16667
CQP,0
CQQ,0
CQR,0.125
CQS,0.09091
CQT,0.13043
CQV,0.15789
CQW,0
CQY,0
CQ_,0
CRC,0
CRD,0.03448
CRE,0
CRF,0.23077
CRG,0.1
CRH,0
CRI,0.05556
CRK,0.19048
CRL,0
CRM,0.1
CRN,0.10526
CRP,0.04762
CRQ,0
CRR,0.10714
CRS,0.0625
CRT,0.06667
CRV,0.09091
CRW,0
CRY,0.07143
CR_,0
CSC,0
CSD,0.22727
CSE,0
CSF,0.15
CSG,0.03226
CSH,0
CSI,0.15385
CSK,0.05556
CSL,0
CSM,0
CSN,0
CSP,0.04167
CSQ,0
CSR,0
CSS,0
CST,0
CSV,0
CSW,0.16667
CSY,0
CS_,0.4
CTC,0
CTD,0.13043
CTE,0.05
CTF,0
CTG,0.11111
CTH,0
CTI,0.11111
CTK,0.08696
CTL,0.04348
CTM,0
CTN,0
CTP,0.1
CTQ,0.1
CTR,0
CTS,0.11111
CTT,0.09524
CTV,0.03226
CTW,0
CTY,0
CVC,0
CVD,0
CVE,0
CVF,0.21429
CVG,0.1
CVH,0.16667
CVI,0.0625
CVK,0.07143
CVL,0.18519
CVM,0.25
CVN,0
CVP,0.04762
CVQ,0
CVR,0.05
CVS,0.09091
CVT,0
CVV,0.04
CVW,0
CVY,0.1
CV_,0
CWC,0
CWD,0.4
CWE,0
CWF,0
CWG,0
CWH,0
CWI,0
CWL,0.28571
CWM,0
CWN,0
CWP,0.2
CWQ,0
CWR,0.16667
CWS,0.16667
CWT,1
CWW,0
CWY,0
CYC,0.2
CYD,0.25
CYE,0.2
CYF,0
CYG,0.17391
CYH,0
CYI,0.22222
CYK,0.13333
CYL,0.19048
CYM,0.14286
CYN,0.23529
CYP,0.18182
CYQ,0
CYR,0.09091
CYS,0.4
CYT,0.16667
CYV,0.2
CYW,0
CYY,0.07143
CY_,0
DAD,0
DAE,0.04651
DAF,0.05556
DAG,0.06977
DAH,0.04348
DAI,0.07407
DAK,0.04478
DAL,0.04274
DAM,0
DAN,0.05357
DAP,0.03448
DAQ,0.07317
DAR,0.03704
DAS,0.02469
DAT,0.07042
DAV,0.02083
DAW,0
DAY,0.02326
DA_,0
DCD,0.25
DCE,0
DCF,0.11111
DCG,0.14286
DCH,0
DCI,0.09091
DCK,0.125
DCL,0.02857
DCM,0
DCN,0
DCP,0
DCQ,0.1
DCR,0
DCS,0.04348
DCT,0.06667
DCV,0.11538
DCW,0.25
DCY,0
DDD,0.15686
DDE,0.08219
DDF,0.0678
DDG,0.10843
DDH,0.10526
DDI,0.11842
DDK,0.03125
DDL,0.02174
DDM,0.16
DDN,0.09302
DDP,0.03175
DDQ,0.07317
DDR,0.07143
DDS,0.0814
DDT,0.03125
DDV,0.06494
DDW,0.04545
DDY,0.16667
DD_,0
DED,0.02857
DEE,0.02703
DEF,0.08065
DEG,0.04545
DEH,0.14286
DEI,0.08889
DEK,0.03191
DEL,0.04636
DEM,0.02778
DEN,0.08434
DEP,0.04255
DEQ,0.07692
DER,0.04839
DES,0.06667
DET,0.04494
DEV,0.05755
DEW,0.08333
DEY,0.08621
DE_,0.07692
DFD,0.03448
DFE,0.09756
DFF,0.02439
DFG,0.12698
DFH,0.14286
DFI,0.08511
DFK,0.07143
DFL,0.15116
DFM,0.14815
DFN,0.14583
DFP,0
DFQ,0.125
DFR,0
DFS,0.07812
DFT,0.08
DFV,0.10204
DFW,0.11111
DFY,0.15385
DF_,0.25
DGD,0.04545
DGE,0.03529
DGF,0.04348
DGG,0.12346
DGH,0.0303
DGI,0.02469
DGK,0.00794
DGL,0.07826
DGM,0.03571
DGN,0.0411
DGP,0.03448
DGQ,0.04
DGR,0.03093
DGS,0.05085
DGT,0.02041
DGV,0.04211
DGW,0.16667
DGY,0.04918
DG_,0
DHD,0.09091
DHE,0.05882
DHF,0.1
DHG,0.08333
DHH,0.11111
DHI,0.07692
DHK,0.1
DHL,0.01923
DHM,0.09091
DHN,0.3
DHP,0.11765
DHQ,0.06667
DHR,0.15
DHS,0
DHT,0.18182
DHV,0.23077
DHW,0
DHY,0
DH_,0
DID,0.08108
DIE,0.08333
DIF,0.1
DIG,0.03077
DIH,0.07143
DII,0.08
DIK,0.07692
DIL,0.07246
DIM,0
DIN,0.03226
DIP,0.10714
DIQ,0.04762
DIR,0.08
DIS,0.04762
DIT,0.12903
DIV,0.08989
DIW,0.2
DIY,0.1087
DI_,0
DKD,0
DKE,0.01905
DKF,0.04878
DKG,0.0625
DKH,0
DKI,0.05455
DKK,0.03797
DKL,0.05
DKM,0.03125
DKN,0
DKP,0.02899
DKQ,0.04255
DKR,0.06452
DKS,0.03125
DKT,0.05128
DKV,0.07207
DKW,0.07143
DKY,0.03226
DK_,0
DLD,0.05172
DLE,0.06569
DLF,0.09524
DLG,0.08421
DLH,0.09677
DLI,0.04717
DLK,0.05785
DLL,0.08065
DLM,0.04878
DLN,0.09524
DLP,0.02299
DLQ,0.03226
DLR,0.03448
DLS,0.03077
DLT,0.12931
DLV,0.0458
DLW,0
DLY,0.11864
DL_,0
DMD,0.09091
DME,0
DMF,0.12903
DMG,0.0625
DMH,0.0625
DMI,0.11111
DMK,0
DML,0.07692
DMM,0.07143
DMN,0
DMP,0
DMQ,0.125
DMR,0.125
DMS,0.19231
DMT,0.11538
DMV,0.06452
DMW,0.09091
DMY,0.30769
DM_,0
DND,0.03704
DNE,0.10448
DNF,0.02273
DNG,0.07407
DNH,0.1
DNI,0.06452
DNK,0.0625
DNL,0.04301
DNM,0.04348
DNN,0
DNP,0.02041
DNQ,0
DNR,0.02632
DNS,0.07273
DNT,0.04615
DNV,0.05714
DNW,0.05263
DNY,0
DN_,0
DPD,0.09524
DPE,0
DPF,0.08
DPG,0
DPH,0
DPI,0.0339
DPK,0.03509
DPL,0.02128
DPM,0.10526
DPN,0.05882
DPP,0.03448
DPQ,0.04255
DPR,0
DPS,0.02326
DPT,0.02941
DPV,0.0641
DPW,0
DPY,0
DP_,0
DQD,0.3125
DQE,0.07273
DQF,0
DQG,0.05172
DQH,0
DQI,0.09091
DQK,0.05714
DQL,0.0381
DQM,0
DQN,0.06667
DQP,0.06122
DQQ,0.03125
DQR,0
DQS,0
DQT,0.05556
DQV,0.08
DQW,0
DQY,0
DQ_,0
DRD,0.03333
DRE,0.05333
DRF,0.01923
DRG,0.08219
DRH,0.05714
DRI,0.07609
DRK,0.12698
DRL,0.0566
DRM,0
DRN,0.09302
DRP,0.02
DRQ,0.03448
DRR,0.08571
DRS,0.11111
DRT,0.01852
DRV,0.09783
DRW,0.27778
DRY,0.11111
DR_,0
DSD,0
DSE,0.0411
DSF,0.06061
DSG,0.04082
DSH,0
DSI,0.05952
DSK,0.02597
DSL,0.02516
DSM,0.125
DSN,0.01786
DSP,0.02857
DSQ,0.06122
DSR,0.04918
DSS,0.13402
DST,0.06173
DSV,0.09639
DSW,0.04348
DSY,0.02273
DS_,0.11111
DTD,0.03448
DTE,0.03333
DTF,0.03333
DTG,0.03797
DTH,0.08333
DTI,0.05952
DTK,0.02041
DTL,0.03571
DTM,0.06897
DTN,0.075
DTP,0.02703
DTQ,0.08
DTR,0
DTS,0.07792
DTT,0.0274
DTV,0.03571
DTW,0.07143
DTY,0.13043
DT_,0
DVD,0.05714
DVE,0.07447
DVF,0.13725
DVG,0.06173
DVH,0.11111
DVI,0.06122
DVK,0.10448
DVL,0.05172
DVM,0.12
DVN,0.09836
DVP,0.0597
DVQ,0.02174
DVR,0.03922
DVS,0.03704
DVT,0.06579
DVV,0.05217
DVW,0.1875
DVY,0.06977
DV_,0
DWD,0.05882
DWE,0.13636
DWF,0.22222
DWG,0.22222
DWH,0
DWI,0.13636
DWK,0.13333
DWL,0.18182
DWM,0
DWN,0.11765
DWP,0.2
DWQ,0.06667
DWR,0
DWS,0.14815
DWT,0
DWV,0.13793
DWW,0.55556
DWY,0.1
DW_,0.5
DYD,0.04
DYE,0.13333
DYF,0.08333
DYG,0.24138
DYH,0.17241
DYI,0.15
DYK,0.15909
DYL,0.15842
DYM,0
DYN,0.1
DYP,0.27027
DYQ,0.05714
DYR,0.05263
DYS,0.08333
DYT,0.15789
DYV,0.05357
DYW,0.0625
DYY,0.1875
DY_,0
EAE,0.07246
EAF,0.13043
EAG,0.07143
EAH,0.04545
EAI,0.02299
EAK,0.075
EAL,0.03015
EAM,0.05714
EAN,0.02817
EAP,0.02941
EAQ,0.05797
EAR,0.06098
EAS,0.02817
EAT,0.04598
EAV,0.03876
EAW,0.15385
EAY,0.06122
EA_,0
ECE,0.14286
ECF,0
ECG,0.03846
ECH,0.14286
ECI,0.07692
ECK,0
ECL,0.09091
ECM,0
ECN,0.14286
ECP,0
ECQ,0.05263
ECR,0.04762
ECS,0
ECT,0.07143
ECV,0.06667
ECW,0
ECY,0.09091
EC_,0
EDE,0.17308
EDF,0.06061
EDG,0.05512
EDH,0.02439
EDI,0.09524
EDK,0.03947
EDL,0.05056
EDM,0.07843
EDN,0.12698
EDP,0.09859
EDQ,0.1
EDR,0.01493
EDS,0.03797
EDT,0.02667
EDV,0.075
EDW,0.05263
EDY,0.09231
ED_,0
EEE,0.05063
EEF,0.04348
EEG,0.0438
EEH,0.04878
EEI,0.05556
EEK,0.01802
EEL,0.03629
EEM,0.01754
EEN,0.02632
EEP,0.0396
EEQ,0.04
EER,0.0198
EES,0.02062
EET,0.03361
EEV,0.05755
EEW,0.1
EEY,0.07353
EE_,0.09091
EFE,0.08333
EFF,0.07895
EFG,0.06667
EFH,0.16667
EFI,0.09804
EFK,0.12308
EFL,0.11905
EFM,0.13333
EFN,0.13514
EFP,0.0625
EFQ,0.13889
EFR,0.08333
EFS,0.13235
EFT,0.01724
EFV,0.12857
EFW,0.125
EFY,0.08333
EGE,0
EGF,0.03333
EGG,0.05607
EGH,0.03226
EGI,0.04762
EGK,0.02913
EGL,0.03488
EGM,0.05263
EGN,0.02817
EGP,0.02532
EGQ,0.06349
EGR,0
EGS,0.04124
EGT,0.03488
EGV,0.02174
EGW,0.08333
EGY,0.03509
EG_,0
EHE,0
EHF,0.14286
EHG,0.05714
EHH,0.09524
EHI,0.06061
EHK,0.12121
EHL,0.07937
EHM,0.125
EHN,0.03448
EHP,0.08333
EHQ,0.10526
EHR,0
EHS,0.17391
EHT,0.26087
EHV,0.05
EHW,0
EHY,0.03846
EH_,0
EIE,0.04878
EIF,0.16129
EIG,0.04545
EIH,0
EII,0.0625
EIK,0.07595
EIL,0.07627
EIM,0.16667
EIN,0.05
EIP,0.05882
EIQ,0.14
EIR,0.06557
EIS,0.11268
EIT,0.02941
EIV,0.04348
EIW,0
EIY,0.02703
EI_,0
EKE,0.04211
EKF,0.05
EKG,0.01869
EKH,0
EKI,0.06452
EKK,0.06061
EKL,0.05714
EKM,0.05797
EKN,0.05634
EKP,0.0122
EKQ,0.05263
EKR,0.0125
EKS,0.02857
EKT,0.0202
EKV,0.04878
EKW,0.08333
EKY,0.07895
EK_,0
ELE,0.06557
ELF,0.07353
ELG,0.1129
ELH,0.04255
ELI,0.05
ELK,0.064
ELL,0.04186
ELM,0.04167
ELN,0.03896
ELP,0.04301
ELQ,0.06897
ELR,0.04301
ELS,0.06667
ELT,0.04386
ELV,0.06993
ELW,0
ELY,0.05556
EL_,0
EME,0.05
EMF,0.05263
EMG,0.10811
EMH,0.23077
EMI,0.21212
EMK,0.03125
EML,0.05769
EMM,0
EMN,0.07407
EMP,0.125
EMQ,0.04167
EMR,0.14815
EMS,0.06452
EMT,0.07692
EMV,0.02439
EMW,0
EMY,0
EM_,0.14286
ENE,0.02222
ENF,0.01449
ENG,0.03093
ENH,0.0625
ENI,0.04854
ENK,0.05882
ENL,0.05147
ENM,0.08571
ENN,0.02381
ENP,0.08475
ENQ,0.13514
ENR,0.02041
ENS,0.03448
ENT,0.03704
ENV,0.02439
ENW,0
ENY,0.04762
EN_,0
EPE,0
EPF,0.08929
EPG,0.01351
EPH,0.03125
EPI,0.09091
EPK,0.0137
EPL,0.02941
EPM,0.09524
EPN,0
EPP,0.07576
EPQ,0
EPR,0.01695
EPS,0.02105
EPT,0.02632
EPV,0.08696
EPW,0.05
EPY,0.04444
EP_,0
EQE,0
EQF,0.05172
EQG,0.07143
EQH,0.04348
EQI,0.01266
EQK,0.03279
EQL,0.05988
EQM,0.05
EQN,0
EQP,0.09091
EQQ,0.16216
EQR,0.01887
EQS,0.12245
EQT,0
EQV,0.08642
EQW,0.14286
EQY,0.06383
EQ_,0
ERE,0.06383
ERF,0.03279
ERG,0.1
ERH,0
ERI,0.16505
ERK,0
ERL,0.07273
ERM,0
ERN,0.08163
ERP,0.06944
ERQ,0.06
ERR,0.07937
ERS,0.09302
ERT,0.05634
ERV,0.09023
ERW,0
ERY,0.04167
ER_,0
ESE,0.11429
ESF,0.09091
ESG,0.01136
ESH,0.15385
ESI,0.04478
ESK,0.05405
ESL,0.01571
ESM,0.12121
ESN,0.05172
ESP,0.03226
ESQ,0
ESR,0.0339
ESS,0.06667
EST,0.10526
ESV,0.02247
ESW,0.04167
ESY,0.04348
ES_,0.13333
ETE,0
ETF,0.04082
ETG,0
ETH,0
ETI,0.13043
ETK,0.06557
ETL,0.04516
ETM,0.0303
ETN,0.04255
ETP,0
ETQ,0
ETR,0.05263
ETS,0.06557
ETT,0.01695
ETV,0.03061
ETW,0.19048
ETY,0.08571
ET_,0.14286
EVE,0.04615
EVF,0.05882
EVG,0.03529
EVH,0.05263
EVI,0.03191
EVK,0.04225
EVL,0.02878
EVM,0.03125
EVN,0.04615
EVP,0.06757
EVQ,0
EVR,0.03125
EVS,0.08333
EVT,0.06742
EVV,0.06504
EVW,0.05882
EVY,0.13636
EV_,0
EWE,0
EWF,0.375
EWG,0.09375
EWH,0.14286
EWI,0.08696
EWK,0.14286
EWL,0.03448
EWM,0.25
EWN,0.25
EWP,0.14286
EWQ,0.45455
EWR,0.11538
EWS,0.14286
EWT,0.16
EWV,0.11111
EWW,0.375
EWY,0.125
EYE,0.04
EYF,0.08333
EYG,0.10169
EYH,0.13043
EYI,0.03774
EYK,0.13462
EYL,0.09524
EYM,0.11111
EYN,0
EYP,0.16667
EYQ,0.08333
EYR,0.07143
EYS,0.04348
EYT,0.22222
EYV,0.09091
EYW,0.06667
EYY,0.18919
EY_,0
FAF,0.3125
FAG,0.08772
FAH,0
FAI,0.13514
FAK,0.02899
FAL,0.08511
FAM,0.10526
FAN,0.08889
FAP,0.01923
FAQ,0.0303
FAR,0.04167
FAS,0.05172
FAT,0.10811
FAV,0.02632
FAW,0.33333
FAY,0
FA_,0
FCF,0.5
FCG,0
FCH,0
FCI,0
FCK,0
FCL,0
FCM,0
FCN,0
FCP,0
FCQ,0
FCR,0.1
FCS,0
FCT,0.08333
FCV,0.18182
FCW,0
FCY,0.14286
FDF,0.16
FDG,0.0274
FDH,0.05
FDI,0.01887
FDK,0.04
FDL,0.08046
FDM,0.05
FDN,0.04545
FDP,0.04167
FDQ,0.05128
FDR,0.0625
FDS,0.07692
FDT,0.05333
FDV,0.08219
FDW,0.125
FDY,0
FD_,0
FEF,0.08696
FEG,0.05479
FEH,0.03846
FEI,0.14286
FEK,0.08163
FEL,0.03704
FEM,0.14286
FEN,0.09756
FEP,0.01724
FEQ,0.02174
FER,0.03279
FES,0.08333
FET,0.03704
FEV,0.04412
FEW,0.125
FEY,0.1
FE_,0
FFF,0.09091
FFG,0.08333
FFH,0.28571
FFI,0.07407
FFK,0.03571
FFL,0.17143
FFM,0.08333
FFN,0.12903
FFP,0.16129
FFQ,0.11765
FFR,0.18182
FFS,0.05405
FFT,0.11111
FFV,0.11538
FFW,0
FFY,0.07692
FGF,0.10526
FGG,0.15686
FGH,0.05882
FGI,0.02857
FGK,0.04688
FGL,0.18293
FGM,0
FGN,0.025
FGP,0.04651
FGQ,0.02703
FGR,0.15385
FGS,0.05634
FGT,0.06122
FGV,0.1
FGW,0.2
FGY,0.19444
FG_,0
FHF,0
FHG,0.06897
FHH,0
FHI,0.17391
FHK,0.03846
FHL,0.10256
FHM,0.08333
FHN,0.13333
FHP,0.09524
FHQ,0.09677
FHR,0.03333
FHS,0.05882
FHT,0.04348
FHV,0.11538
FHY,0
FIF,0.11765
FIG,0.14634
FIH,0.0625
FII,0.03448
FIK,0.02128
FIL,0.04762
FIM,0.06667
FIN,0.15217
FIP,0.03333
FIQ,0.0625
FIR,0
FIS,0
FIT,0
FIV,0.08824
FIW,0
FIY,0.17647
FI_,0
FKF,0.16667
FKG,0.07937
FKH,0.10526
FKI,0.03125
FKK,0.05
FKL,0.05405
FKM,0.07692
FKN,0.07547
FKP,0.10345
FKQ,0.03774
FKR,0.08511
FKS,0.08772
FKT,0.11364
FKV,0.14943
